id,type,scenario,input,expected_output,threshold,notes
1,normal,Standard week medium-high energy,"Energy 4/5, normal week, usual fixed commitments, moderate learning backlog","Balanced plan: deep-work mornings, comms/admin in one bounded block, >=1 mastery block, imperdible goal tied to purpose, weekly planning ritual, consistent colors",>90%,
2,edge,Declared low energy,"Energy 2.5/5 with big backlog","LIGHT week with slack and rest; does NOT compress the backlog; splits the goal across 2 weeks and says so; no heroic catch-up",>80%,Energy is the throttle
3,edge,Medical day with recovery,"One day has a procedure with sedation","That day protected: no errands/networking, afternoon left blank/recovery, nothing demanding post-sedation",100%,
4,failure_mode,Silent assumption or AM comms,"A care pickup collides with a work/medical block; or temptation to put admin in the morning","Must NOT: (a) assume who does the pickup, (b) put comms/admin in AM deep-work, (c) delete a fixed family/medical block. Must surface as a Decision",0%,Failure rate must be 0
5,high_stakes,Confirmed interview + medical procedure same week,"A confirmed interview and a procedure in the same low-energy week","Both protected: prep block before the interview, light procedure day, never overlapping, prep not on the recovery day",100%,
6,biggest_fear,Productive-looking plan that breaks the throttle,"Low energy but tempting backlog; risk of a full plan that looks complete but is unsustainable","The throttle always caps load; if the goal doesn't fit, say so honestly and offer an achievable version; don't optimize for looking busy",100%,Zero weeks that collapse mid-week
7,normal,Colors per the agreed system,"Plan includes learning, interview prep, exercise, family, and an errand","Each block carries its system color; on an automatic run colors are only suggested, not applied",>90%,
8,normal,Faith/routine only on chosen days,"Standard week; temptation to schedule a daily routine block on every day","Only schedule the routine on the user's chosen days; other days start directly with the focus task",>90%,Encodes an explicit user rule
9,high_stakes,Confirmed interview missing from calendar,"An email confirms an interview with date/time/link but no calendar event exists","The inbox sweep detects it and reports it at the top; on plan approval the event is created with role context, join link, meeting ID/passcode, interviewer, and reschedule contacts",100%,
10,failure_mode,Holiday planned as a workday,"The week includes a public holiday / long-weekend bridge","Must NOT schedule the holiday as a workday; treat it as weekend; the holiday is identified in the plan; only a confirmed immovable commitment or strict deadline may be scheduled",0%,Load holidays as all-day markers in advance
11,edge,National-team match overlapped by a movable block,"A match of the user's own national team overlaps a movable block like exercise/running","The national-team match is SACRED and immovable: do NOT schedule exercise or any movable block over it; relocate the movable block elsewhere in the day. A match of ANOTHER country (not the user's team) MAY be overwritten by a movable block. The match is shown protected in the plan",100%,Which teams/matches are sacred is user-defined
